frequency_hz,quantity,id,re,im
1.33352143E+03,voltage,Rod_1_n5,2.08362255E+01,-7.80300352E-02
1.77827941E+03,voltage,Node_1,2.08201416E+01,5.25916149E-02
1.77827941E+03,voltage,Node_2,2.08182631E+01,-1.12257152E-01
1.77827941E+03,voltage,Node_3,2.08177684E+01,-1.42080836E-01
1.77827941E+03,voltage,Rod_2_n1,2.08181243E+01,-1.19060647E-01
1.77827941E+03,voltage,Rod_2_n2,2.08180034E+01,-1.26375295E-01
1.77827941E+03,voltage,Rod_2_n3,2.08179058E+01,-1.32598199E-01
1.77827941E+03,voltage,Rod_2_n4,2.08178329E+01,-1.37387773E-01
1.77827941E+03,voltage,Rod_2_n5,2.08177860E+01,-1.40581324E-01
1.77827941E+03,voltage,Rod_1_n1,2.08198287E+01,2.79618674E-02
1.77827941E+03,voltage,Rod_1_n2,2.08195158E+01,9.20075659E-04
1.77827941E+03,voltage,Rod_1_n3,2.08192027E+01,-2.69095803E-02
1.77827941E+03,voltage,Rod_1_n4,2.08188896E+01,-5.51646704E-02
1.77827941E+03,voltage,Rod_1_n5,2.08185764E+01,-8.36569005E-02
2.37137371E+03,voltage,Node_1,2.07999971E+01,9.34308486E-02
2.37137371E+03,voltage,Node_2,2.07978444E+01,-1.26094149E-01
2.37137371E+03,voltage,Node_3,2.07972722E+01,-1.65786462E-01
2.37137371E+03,voltage,Rod_2_n1,2.07976874E+01,-1.35144570E-01
2.37137371E+03,voltage,Rod_2_n2,2.07975480E+01,-1.44879544E-01
2.37137371E+03,voltage,Rod_2_n3,2.07974345E+01,-1.53162517E-01
2.37137371E+03,voltage,Rod_2_n4,2.07973491E+01,-1.59538114E-01
2.37137371E+03,voltage,Rod_2_n5,2.07972937E+01,-1.63789510E-01
2.37137371E+03,voltage,Rod_1_n1,2.07996387E+01,6.06372801E-02
2.37137371E+03,voltage,Rod_1_n2,2.07992802E+01,2.46271988E-02
2.37137371E+03,voltage,Rod_1_n3,2.07989214E+01,-1.24335164E-02
2.37137371E+03,voltage,Rod_1_n4,2.07985626E+01,-5.00615570E-02
2.37137371E+03,voltage,Rod_1_n5,2.07982036E+01,-8.80058285E-02
3.16227766E+03,voltage,Node_1,2.07767518E+01,1.51492369E-01
3.16227766E+03,voltage,Node_2,2.07742773E+01,-1.40896100E-01
3.16227766E+03,voltage,Node_3,2.07736100E+01,-1.93736293E-01
3.16227766E+03,voltage,Rod_2_n1,2.07741000E+01,-1.52939767E-01
3.16227766E+03,voltage,Rod_2_n2,2.07739381E+01,-1.65899273E-01
3.16227766E+03,voltage,Rod_2_n3,2.07738046E+01,-1.76926925E-01
3.16227766E+03,voltage,Rod_2_n4,2.07737032E+01,-1.85415659E-01
3.16227766E+03,voltage,Rod_2_n5,2.07736367E+01,-1.91076495E-01
3.16227766E+03,voltage,Rod_1_n1,2.07763402E+01,1.07820247E-01
3.16227766E+03,voltage,Rod_1_n2,2.07759281E+01,5.98588345E-02
3.16227766E+03,voltage,Rod_1_n3,2.07755158E+01,1.04963794E-02
3.16227766E+03,voltage,Rod_1_n4,2.07751032E+01,-3.96226162E-02
3.16227766E+03,voltage,Rod_1_n5,2.07746904E+01,-9.01633123E-02
4.21696503E+03,voltage,Node_1,2.07499369E+01,2.33076186E-01
4.21696503E+03,voltage,Node_2,2.07470819E+01,-1.56421545E-01
4.21696503E+03,voltage,Node_3,2.07462943E+01,-2.26780884E-01
4.21696503E+03,voltage,Rod_2_n1,2.07468821E+01,-1.72453477E-01
4.21696503E+03,voltage,Rod_2_n2,2.07466922E+01,-1.89709510E-01
4.21696503E+03,voltage,Rod_2_n3,2.07465330E+01,-2.04394398E-01
4.21696503E+03,voltage,Rod_2_n4,2.07464103E+01,-2.15698877E-01
4.21696503E+03,voltage,Rod_2_n5,2.07463285E+01,-2.23237788E-01
4.21696503E+03,voltage,Rod_1_n1,2.07494624E+01,1.74906570E-01
4.21696503E+03,voltage,Rod_1_n2,2.07489873E+01,1.11017093E-01
4.21696503E+03,voltage,Rod_1_n3,2.07485116E+01,4.52592931E-02
4.21696503E+03,voltage,Rod_1_n4,2.07480355E+01,-2.15073698E-02
4.21696503E+03,voltage,Rod_1_n5,2.07475590E+01,-8.88363790E-02
5.62341325E+03,voltage,Node_1,2.07190187E+01,3.46668606E-01
5.62341325E+03,voltage,Node_2,2.07157087E+01,-1.72262249E-01
5.62341325E+03,voltage,Node_3,2.07147634E+01,-2.65968004E-01
5.62341325E+03,voltage,Rod_2_n1,2.07154840E+01,-1.93609207E-01
5.62341325E+03,voltage,Rod_2_n2,2.07152584E+01,-2.16590801E-01
5.62341325E+03,voltage,Rod_2_n3,2.07150647E+01,-2.36149387E-01
